OrderID,Product,Category,Brand,Platform,City,Price,Quantity,TotalAmount,Rating,Reviews,OrderDate,year,month,month_name,quarter,calculated_amount
ORD100000,Samsung Galaxy A14,Electronics,Samsung,Souq,Cairo,16284.02,1,16284.02,1.39,1684,11/11/2024,2024,11,November,2024Q4,16284.02
ORD100001,Nike Air Max,Fashion,Nike,Jumia,Alexandria,6645.2,2,13290.4,2.56,3604,6/22/2024,2024,6,June,2024Q2,13290.4
ORD100002,Bluetooth Headset,Accessories,JBL,Jumia,Casablanca,8882.92,3,26648.76,4.98,1257,5/27/2024,2024,5,May,2024Q2,26648.76
ORD100003,HP Pavilion Laptop,Computers,HP,Souq,Dubai,3665.44,1,3665.44,1.44,662,7/25/2024,2024,7,July,2024Q3,3665.44
ORD100004,iPhone 13,Electronics,Apple,Souq,Casablanca,5210.37,2,10420.74,3.73,2424,2/19/2024,2024,2,February,2024Q1,10420.74
ORD100005,T-shirt Cotton,Fashion,Generic,Souq,Riyadh,19869.86,5,99349.3,3.91,2154,9/28/2024,2024,9,September,2024Q3,99349.3
ORD100006,T-shirt Cotton,Fashion,Generic,Souq,Casablanca,17796.11,2,35592.22,4.18,4309,7/2/2024,2024,7,July,2024Q3,35592.22
ORD100007,Smartwatch FitPro,Wearables,FitPro,Souq,Casablanca,13081.14,3,39243.42,2.98,3504,1/30/2024,2024,1,January,2024Q1,39243.42
ORD100008,T-shirt Cotton,Fashion,Generic,Amazon,Dubai,510.3,5,2551.5,1.17,178,9/21/2024,2024,9,September,2024Q3,2551.5
ORD100009,Xiaomi Redmi Note 12,Electronics,Xiaomi,Jumia,Riyadh,6326.57,3,18979.71,2.05,4589,9/26/2024,2024,9,September,2024Q3,18979.71
ORD100010,Samsung Galaxy A14,Electronics,Samsung,Jumia,Riyadh,10283.51,1,10283.51,3.05,4702,2/20/2024,2024,2,February,2024Q1,10283.51
ORD100011,Dell Inspiron 3501,Computers,Dell,Jumia,Casablanca,451.79,2,903.58,4.28,618,5/18/2024,2024,5,May,2024Q2,903.58
ORD100012,HP Pavilion Laptop,Computers,HP,Souq,Dubai,5904.49,3,17713.47,2.6,1215,8/9/2024,2024,8,August,2024Q3,17713.47
ORD100013,HP Pavilion Laptop,Computers,HP,Jumia,Dubai,19853.19,4,79412.76,3.46,2143,4/6/2024,2024,4,April,2024Q2,79412.76
ORD100014,HP Pavilion Laptop,Computers,HP,Jumia,Alexandria,17920.82,4,71683.28,4.84,2166,7/11/2024,2024,7,July,2024Q3,71683.28
ORD100015,Xiaomi Redmi Note 12,Electronics,Xiaomi,Amazon,Cairo,15802.27,5,79011.35,1.75,1853,2/2/2024,2024,2,February,2024Q1,79011.35
ORD100016,Samsung Galaxy A14,Electronics,Samsung,Souq,Alexandria,3529.77,5,17648.85,2.06,717,5/9/2024,2024,5,May,2024Q2,17648.85
ORD100017,Dell Inspiron 3501,Computers,Dell,Amazon,Cairo,13247.77,3,39743.31,3.86,4403,12/17/2024,2024,12,December,2024Q4,39743.31
ORD100018,iPhone 13,Electronics,Apple,Amazon,Giza,13936.49,2,27872.98,1.42,153,1/24/2024,2024,1,January,2024Q1,27872.98
ORD100019,T-shirt Cotton,Fashion,Generic,Souq,Cairo,5953.25,3,17859.75,1.99,3079,3/12/2024,2024,3,March,2024Q1,17859.75
ORD100020,Adidas Running Shoes,Fashion,Adidas,Amazon,Dubai,9716.95,4,38867.8,1.76,60,6/28/2024,2024,6,June,2024Q2,38867.8
ORD100021,Samsung Galaxy A14,Electronics,Samsung,Jumia,Casablanca,12134.55,4,48538.2,4.61,2413,1/28/2024,2024,1,January,2024Q1,48538.2
ORD100022,iPhone 13,Electronics,Apple,Jumia,Alexandria,3597.29,1,3597.29,4.63,2559,4/7/2024,2024,4,April,2024Q2,3597.29
ORD100023,Dell Inspiron 3501,Computers,Dell,Jumia,Casablanca,17087.44,3,51262.32,4.75,2187,1/7/2024,2024,1,January,2024Q1,51262.32
ORD100024,Samsung Galaxy A14,Electronics,Samsung,Souq,Dubai,7396.38,2,14792.76,4.34,1123,2/8/2024,2024,2,February,2024Q1,14792.76
ORD100025,Xiaomi Redmi Note 12,Electronics,Xiaomi,Souq,Casablanca,15915.39,5,79576.95,1.73,534,1/2/2024,2024,1,January,2024Q1,79576.95
ORD100026,iPhone 13,Electronics,Apple,Souq,Dubai,14633.56,4,58534.24,3,4444,5/26/2024,2024,5,May,2024Q2,58534.24
ORD100027,HP Pavilion Laptop,Computers,HP,Souq,Giza,19624.3,1,19624.3,4.55,3542,12/22/2024,2024,12,December,2024Q4,19624.3
ORD100028,Bluetooth Headset,Accessories,JBL,Amazon,Giza,12094.71,2,24189.42,3.37,628,8/28/2024,2024,8,August,2024Q3,24189.42
ORD100029,Smartwatch FitPro,Wearables,FitPro,Jumia,Dubai,1682.41,2,3364.82,2.35,3355,9/23/2024,2024,9,September,2024Q3,3364.82
ORD100030,Samsung Galaxy A14,Electronics,Samsung,Jumia,Giza,6584.51,3,19753.53,1.02,4582,9/7/2024,2024,9,September,2024Q3,19753.53
ORD100031,HP Pavilion Laptop,Computers,HP,Souq,Giza,3760.61,2,7521.22,3.05,2947,5/4/2024,2024,5,May,2024Q2,7521.22
ORD100032,Dell Inspiron 3501,Computers,Dell,Amazon,Alexandria,15781.15,4,63124.6,2.04,4325,8/8/2024,2024,8,August,2024Q3,63124.6
ORD100033,Adidas Running Shoes,Fashion,Adidas,Souq,Alexandria,9205.93,2,18411.86,1.53,4684,11/26/2024,2024,11,November,2024Q4,18411.86
ORD100034,Adidas Running Shoes,Fashion,Adidas,Souq,Riyadh,8827.96,5,44139.8,2.22,1653,4/26/2024,2024,4,April,2024Q2,44139.8
ORD100035,iPhone 13,Electronics,Apple,Souq,Casablanca,3698.12,4,14792.48,4,4028,6/22/2024,2024,6,June,2024Q2,14792.48
ORD100036,iPhone 13,Electronics,Apple,Souq,Cairo,19025.22,2,38050.44,1.07,2108,9/5/2024,2024,9,September,2024Q3,38050.44
ORD100037,Bluetooth Headset,Accessories,JBL,Amazon,Alexandria,7460.49,5,37302.45,1.76,967,10/16/2024,2024,10,October,2024Q4,37302.45
ORD100038,Dell Inspiron 3501,Computers,Dell,Jumia,Dubai,8959.05,3,26877.15,3.54,3816,9/8/2024,2024,9,September,2024Q3,26877.15
